,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
1519,greater_200,21,credits_paid_to_date,radio_tv,2635,greater_1000,greater_7,4,male,none,3,car_other,37,none,own,2,skilled,1,none,yes,No Risk
1520,0_to_200,27,credits_paid_to_date,education,4811,100_to_500,greater_7,4,male,none,3,car_other,34,none,free,2,skilled,1,yes,yes,No Risk
1521,no_checking,25,prior_payments_delayed,car_used,6092,100_to_500,less_1,4,male,none,3,savings_insurance,39,none,own,1,management_self-employed,1,none,yes,No Risk
1522,greater_200,27,outstanding_credit,appliances,1371,500_to_1000,4_to_7,2,male,none,2,savings_insurance,36,none,free,2,skilled,1,none,yes,No Risk
1523,no_checking,27,outstanding_credit,business,6520,500_to_1000,greater_7,5,male,none,5,car_other,44,stores,own,2,unskilled,1,yes,no,No Risk
1524,0_to_200,24,credits_paid_to_date,retraining,3947,less_100,4_to_7,4,male,none,2,car_other,42,bank,own,2,unskilled,1,none,yes,No Risk
1525,greater_200,41,prior_payments_delayed,radio_tv,7078,unknown,4_to_7,3,male,none,3,unknown,42,none,free,2,skilled,2,yes,yes,No Risk
1526,0_to_200,4,all_credits_paid_back,car_used,250,less_100,less_1,1,male,none,2,real_estate,24,stores,rent,1,skilled,1,none,yes,No Risk
1527,no_checking,33,prior_payments_delayed,appliances,7860,500_to_1000,4_to_7,5,male,none,3,savings_insurance,44,none,free,3,skilled,1,yes,yes,No Risk
1528,no_checking,27,prior_payments_delayed,radio_tv,6693,100_to_500,greater_7,5,male,none,3,car_other,48,none,free,2,management_self-employed,1,none,yes,No Risk
1529,no_checking,17,credits_paid_to_date,radio_tv,1071,500_to_1000,4_to_7,2,male,none,2,savings_insurance,48,none,own,1,skilled,1,yes,yes,No Risk
1530,0_to_200,22,credits_paid_to_date,car_used,988,less_100,1_to_4,2,male,none,2,savings_insurance,31,stores,rent,1,skilled,1,none,yes,No Risk
1531,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
1532,no_checking,33,outstanding_credit,radio_tv,5742,500_to_1000,4_to_7,4,male,none,3,car_other,52,none,free,2,skilled,1,none,yes,No Risk
1533,no_checking,41,prior_payments_delayed,furniture,5074,greater_1000,1_to_4,4,male,none,4,savings_insurance,40,none,own,2,management_self-employed,1,none,yes,No Risk
1534,no_checking,30,outstanding_credit,vacation,9535,500_to_1000,4_to_7,5,male,co-applicant,5,unknown,35,none,own,2,skilled,1,yes,yes,No Risk
1535,no_checking,34,prior_payments_delayed,furniture,5060,500_to_1000,4_to_7,4,male,co-applicant,5,car_other,50,stores,own,1,unskilled,1,yes,yes,No Risk
1536,less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,co-applicant,2,real_estate,33,stores,own,1,skilled,1,none,yes,No Risk
1537,no_checking,21,credits_paid_to_date,radio_tv,5422,100_to_500,1_to_4,4,male,guarantor,4,savings_insurance,34,none,free,1,management_self-employed,1,yes,yes,No Risk
1538,no_checking,24,outstanding_credit,car_used,5064,500_to_1000,4_to_7,4,male,none,2,car_other,49,none,own,2,skilled,1,none,yes,No Risk
1539,0_to_200,29,credits_paid_to_date,radio_tv,250,100_to_500,1_to_4,3,male,co-applicant,3,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
1540,less_0,20,credits_paid_to_date,furniture,1901,less_100,4_to_7,2,male,none,1,savings_insurance,31,stores,own,2,skilled,1,none,yes,No Risk
1541,less_0,18,prior_payments_delayed,radio_tv,2618,500_to_1000,1_to_4,2,male,none,1,savings_insurance,22,bank,rent,1,unskilled,1,yes,yes,No Risk
1542,no_checking,19,credits_paid_to_date,repairs,6343,less_100,less_1,3,male,none,4,car_other,41,stores,own,2,unskilled,1,none,yes,No Risk
1543,no_checking,27,prior_payments_delayed,furniture,6459,100_to_500,1_to_4,4,male,guarantor,5,savings_insurance,44,stores,own,1,unskilled,1,yes,yes,No Risk
1544,no_checking,29,credits_paid_to_date,radio_tv,1639,500_to_1000,greater_7,3,male,none,3,savings_insurance,25,none,own,1,skilled,2,yes,no,No Risk
1545,less_0,4,credits_paid_to_date,radio_tv,250,less_100,unemployed,1,male,none,1,real_estate,40,stores,rent,1,unskilled,1,none,yes,No Risk
1546,less_0,4,credits_paid_to_date,education,251,less_100,4_to_7,3,male,none,2,savings_insurance,34,none,own,2,management_self-employed,1,yes,yes,No Risk
1547,no_checking,33,credits_paid_to_date,retraining,7064,greater_1000,1_to_4,4,male,none,5,unknown,44,none,own,2,management_self-employed,1,none,yes,No Risk
1548,0_to_200,11,credits_paid_to_date,furniture,3029,less_100,4_to_7,3,male,none,3,real_estate,28,stores,own,2,unskilled,2,yes,yes,No Risk
1549,no_checking,28,prior_payments_delayed,appliances,4503,greater_1000,4_to_7,4,male,none,3,savings_insurance,36,none,own,1,management_self-employed,2,none,yes,No Risk
1550,less_0,23,credits_paid_to_date,business,2683,100_to_500,1_to_4,3,male,none,3,savings_insurance,29,none,rent,1,skilled,1,none,yes,No Risk
1551,less_0,14,prior_payments_delayed,car_new,250,less_100,1_to_4,2,male,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
1552,less_0,16,prior_payments_delayed,furniture,3457,less_100,1_to_4,3,male,co-applicant,3,unknown,51,none,own,1,skilled,1,yes,yes,No Risk
1553,no_checking,47,outstanding_credit,repairs,5857,greater_1000,4_to_7,5,male,co-applicant,4,car_other,47,none,free,2,management_self-employed,1,yes,yes,No Risk
1554,less_0,8,all_credits_paid_back,car_new,3079,100_to_500,1_to_4,3,male,none,1,real_estate,28,none,own,2,skilled,1,none,yes,No Risk
1555,less_0,13,prior_payments_delayed,furniture,2577,500_to_1000,less_1,3,male,none,3,car_other,28,bank,own,2,unskilled,1,none,yes,No Risk
1556,less_0,10,prior_payments_delayed,car_used,250,less_100,1_to_4,2,male,none,3,car_other,27,none,own,2,skilled,2,yes,yes,No Risk
1557,no_checking,9,prior_payments_delayed,radio_tv,7594,100_to_500,1_to_4,3,male,none,4,savings_insurance,31,none,own,1,management_self-employed,1,none,yes,No Risk
1558,0_to_200,14,credits_paid_to_date,car_new,4364,100_to_500,4_to_7,4,male,none,4,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
1559,0_to_200,16,prior_payments_delayed,repairs,3210,less_100,less_1,3,male,none,2,car_other,41,none,own,2,management_self-employed,2,yes,yes,No Risk
1560,less_0,13,prior_payments_delayed,car_new,5595,less_100,4_to_7,3,male,guarantor,3,savings_insurance,50,none,own,1,skilled,1,yes,no,No Risk
1561,no_checking,30,prior_payments_delayed,radio_tv,6067,100_to_500,4_to_7,4,male,none,5,savings_insurance,32,none,own,1,management_self-employed,1,yes,yes,No Risk
1562,no_checking,8,prior_payments_delayed,car_used,3658,less_100,1_to_4,2,male,none,3,savings_insurance,48,none,own,1,management_self-employed,1,yes,yes,No Risk
1563,less_0,21,credits_paid_to_date,car_new,250,500_to_1000,4_to_7,3,male,none,2,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk
1564,0_to_200,23,outstanding_credit,business,3364,greater_1000,greater_7,4,male,co-applicant,3,car_other,37,none,own,2,skilled,1,yes,yes,No Risk
1565,less_0,6,prior_payments_delayed,car_used,3026,less_100,less_1,3,male,none,3,car_other,37,none,own,1,skilled,1,none,yes,No Risk
1566,greater_200,24,prior_payments_delayed,car_used,4311,greater_1000,4_to_7,2,male,co-applicant,3,car_other,55,none,own,2,skilled,2,yes,yes,No Risk
1567,less_0,11,all_credits_paid_back,radio_tv,340,less_100,less_1,2,male,none,1,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
1568,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,savings_insurance,21,stores,rent,1,skilled,1,none,yes,No Risk
1569,less_0,4,no_credits,car_new,250,100_to_500,less_1,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
1570,0_to_200,23,outstanding_credit,car_used,2581,100_to_500,less_1,3,male,none,2,savings_insurance,41,none,own,1,skilled,2,yes,yes,No Risk
1571,greater_200,27,outstanding_credit,radio_tv,4880,500_to_1000,4_to_7,3,male,none,3,unknown,43,stores,free,2,unskilled,1,yes,yes,No Risk
1572,less_0,4,credits_paid_to_date,car_new,4345,100_to_500,less_1,2,male,none,3,savings_insurance,24,bank,rent,1,unskilled,1,none,yes,No Risk
1573,less_0,23,credits_paid_to_date,repairs,1121,less_100,1_to_4,2,male,none,3,savings_insurance,31,bank,rent,1,unemployed,1,yes,yes,No Risk
1574,less_0,12,prior_payments_delayed,car_used,1635,less_100,1_to_4,1,male,none,2,savings_insurance,29,stores,own,1,skilled,1,none,yes,No Risk
1575,greater_200,25,credits_paid_to_date,car_used,4067,100_to_500,4_to_7,3,male,none,4,savings_insurance,43,stores,free,2,skilled,1,yes,yes,No Risk
1576,no_checking,35,prior_payments_delayed,radio_tv,5572,500_to_1000,greater_7,5,male,none,4,car_other,42,none,own,2,skilled,1,yes,yes,No Risk
1577,0_to_200,16,credits_paid_to_date,furniture,1472,500_to_1000,1_to_4,3,male,none,3,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
1578,no_checking,37,prior_payments_delayed,appliances,3934,greater_1000,4_to_7,4,male,none,4,car_other,33,stores,own,1,unskilled,2,yes,yes,No Risk
1579,no_checking,22,prior_payments_delayed,car_used,7083,unknown,greater_7,4,male,none,3,savings_insurance,49,none,own,2,skilled,1,none,yes,No Risk
1580,less_0,28,outstanding_credit,furniture,4742,100_to_500,greater_7,4,male,none,2,car_other,38,none,own,2,skilled,1,yes,yes,No Risk
1581,less_0,21,all_credits_paid_back,furniture,250,500_to_1000,1_to_4,2,male,none,1,savings_insurance,23,stores,rent,2,skilled,1,none,yes,No Risk
1582,less_0,10,all_credits_paid_back,car_new,2167,100_to_500,less_1,2,male,none,3,real_estate,30,none,own,3,skilled,1,none,yes,No Risk
1583,0_to_200,4,all_credits_paid_back,education,936,less_100,less_1,2,male,none,2,savings_insurance,41,bank,rent,1,unskilled,1,none,yes,No Risk
1584,no_checking,30,outstanding_credit,furniture,5161,500_to_1000,greater_7,4,male,none,5,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
1585,less_0,4,credits_paid_to_date,car_new,250,less_100,less_1,1,male,none,2,real_estate,39,bank,own,1,unemployed,1,none,yes,No Risk
1586,no_checking,28,prior_payments_delayed,appliances,5105,unknown,1_to_4,4,male,none,2,car_other,60,stores,own,2,unemployed,2,yes,yes,No Risk
1587,no_checking,37,prior_payments_delayed,repairs,6133,500_to_1000,1_to_4,4,male,none,5,savings_insurance,38,none,own,1,management_self-employed,1,yes,yes,No Risk
1588,0_to_200,15,prior_payments_delayed,car_new,4773,greater_1000,greater_7,4,male,none,4,savings_insurance,52,stores,rent,2,unskilled,1,none,yes,No Risk
1589,0_to_200,14,credits_paid_to_date,car_new,4879,less_100,less_1,2,male,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
1590,0_to_200,14,prior_payments_delayed,car_new,250,100_to_500,less_1,2,male,none,3,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk
1591,0_to_200,30,credits_paid_to_date,radio_tv,2368,100_to_500,4_to_7,3,male,none,3,real_estate,33,none,rent,1,skilled,1,none,yes,No Risk
1592,no_checking,26,prior_payments_delayed,radio_tv,1631,100_to_500,1_to_4,2,male,none,2,real_estate,45,bank,own,1,unskilled,2,yes,yes,No Risk
1593,less_0,12,all_credits_paid_back,car_new,250,500_to_1000,less_1,2,male,none,3,savings_insurance,31,none,rent,2,skilled,1,yes,yes,No Risk
1594,0_to_200,14,prior_payments_delayed,car_used,5452,greater_1000,greater_7,4,male,none,2,unknown,47,none,own,2,skilled,1,none,yes,No Risk
1595,greater_200,25,credits_paid_to_date,retraining,2933,100_to_500,1_to_4,4,male,none,2,savings_insurance,19,stores,rent,1,unskilled,1,none,yes,No Risk
1596,no_checking,10,credits_paid_to_date,furniture,5130,500_to_1000,1_to_4,3,male,none,3,savings_insurance,44,none,own,2,management_self-employed,1,yes,yes,No Risk
1597,no_checking,30,prior_payments_delayed,radio_tv,3820,500_to_1000,4_to_7,4,male,none,3,car_other,46,none,own,1,skilled,1,yes,yes,No Risk
1598,no_checking,26,outstanding_credit,furniture,5461,500_to_1000,4_to_7,4,male,none,5,savings_insurance,50,none,own,1,management_self-employed,1,none,yes,No Risk
1599,no_checking,31,outstanding_credit,vacation,7108,unknown,4_to_7,5,male,none,3,unknown,49,none,own,2,skilled,2,yes,yes,No Risk
1600,less_0,13,all_credits_paid_back,furniture,3291,less_100,less_1,1,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,No Risk
1601,no_checking,20,prior_payments_delayed,radio_tv,4571,100_to_500,1_to_4,2,male,none,4,savings_insurance,26,none,own,1,skilled,2,none,yes,No Risk
1602,0_to_200,14,no_credits,car_used,3942,less_100,less_1,3,male,none,3,savings_insurance,24,none,own,1,skilled,1,none,yes,No Risk
1603,no_checking,33,prior_payments_delayed,appliances,4454,500_to_1000,1_to_4,4,male,none,3,car_other,25,none,own,1,skilled,1,none,yes,No Risk
1604,no_checking,16,credits_paid_to_date,car_new,3000,100_to_500,less_1,3,male,co-applicant,4,real_estate,39,none,free,2,skilled,1,yes,yes,No Risk
1605,less_0,16,credits_paid_to_date,car_new,1328,100_to_500,less_1,1,male,none,2,savings_insurance,25,stores,rent,1,skilled,1,none,yes,No Risk
1606,0_to_200,28,credits_paid_to_date,car_used,250,greater_1000,less_1,2,male,none,2,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
1607,no_checking,29,credits_paid_to_date,car_used,5011,100_to_500,1_to_4,3,male,none,4,car_other,40,none,own,1,skilled,1,yes,yes,No Risk
1608,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,20,none,rent,1,skilled,1,none,yes,No Risk
1609,less_0,4,all_credits_paid_back,radio_tv,950,less_100,less_1,2,male,none,2,real_estate,22,bank,rent,1,unskilled,1,none,yes,No Risk
1610,no_checking,28,prior_payments_delayed,car_used,6860,100_to_500,1_to_4,4,male,none,3,savings_insurance,40,none,own,2,management_self-employed,1,yes,yes,No Risk
1611,less_0,9,all_credits_paid_back,car_new,1071,100_to_500,4_to_7,3,male,none,2,savings_insurance,24,none,own,1,skilled,1,none,yes,No Risk
1612,0_to_200,22,credits_paid_to_date,radio_tv,4744,less_100,1_to_4,3,male,none,3,savings_insurance,23,none,free,1,skilled,1,none,yes,No Risk
1613,less_0,11,prior_payments_delayed,car_new,1216,less_100,4_to_7,2,male,none,2,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
1614,no_checking,42,outstanding_credit,repairs,5606,greater_1000,4_to_7,5,male,none,5,car_other,41,none,own,2,skilled,1,yes,yes,No Risk
1615,0_to_200,11,credits_paid_to_date,car_used,1139,500_to_1000,4_to_7,3,male,none,2,savings_insurance,25,none,rent,1,skilled,1,none,yes,No Risk
1616,0_to_200,4,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,2,real_estate,22,none,rent,1,management_self-employed,1,none,yes,No Risk
1617,no_checking,36,prior_payments_delayed,other,5858,500_to_1000,greater_7,4,male,co-applicant,2,car_other,44,bank,own,1,unskilled,1,none,yes,No Risk
1618,no_checking,32,prior_payments_delayed,appliances,6990,unknown,4_to_7,5,male,none,5,unknown,44,none,own,2,skilled,2,yes,yes,No Risk
1619,no_checking,25,prior_payments_delayed,radio_tv,4715,100_to_500,1_to_4,4,male,none,3,savings_insurance,38,none,own,1,management_self-employed,2,none,no,No Risk
1620,no_checking,26,prior_payments_delayed,business,4440,100_to_500,1_to_4,4,male,none,3,savings_insurance,30,none,free,1,management_self-employed,2,yes,yes,No Risk
1621,less_0,35,prior_payments_delayed,radio_tv,3875,greater_1000,4_to_7,2,male,none,2,unknown,37,stores,own,2,unskilled,1,none,yes,No Risk
1622,no_checking,25,outstanding_credit,furniture,6928,500_to_1000,4_to_7,4,male,none,4,car_other,43,none,free,2,management_self-employed,1,yes,yes,No Risk
1623,less_0,15,prior_payments_delayed,car_new,593,less_100,4_to_7,3,male,none,3,car_other,31,none,own,1,skilled,1,yes,yes,No Risk
1624,0_to_200,20,prior_payments_delayed,car_used,1389,100_to_500,greater_7,4,male,none,4,car_other,33,none,own,2,skilled,1,none,yes,No Risk
1625,greater_200,30,prior_payments_delayed,business,4040,100_to_500,4_to_7,3,male,co-applicant,4,unknown,26,none,own,1,skilled,1,none,yes,No Risk
1626,0_to_200,15,prior_payments_delayed,retraining,3044,500_to_1000,1_to_4,3,male,none,3,savings_insurance,34,none,own,1,management_self-employed,1,yes,yes,No Risk
1627,no_checking,44,prior_payments_delayed,repairs,8070,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,28,none,free,2,skilled,1,none,yes,No Risk
1628,0_to_200,22,credits_paid_to_date,radio_tv,2371,less_100,1_to_4,3,male,none,3,car_other,29,none,own,2,skilled,1,yes,yes,No Risk
1629,no_checking,15,all_credits_paid_back,furniture,2811,500_to_1000,less_1,2,male,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
1630,no_checking,38,prior_payments_delayed,other,8607,unknown,1_to_4,5,male,none,5,savings_insurance,53,none,own,3,skilled,2,yes,yes,No Risk
1631,less_0,29,outstanding_credit,radio_tv,1751,100_to_500,1_to_4,3,male,none,3,savings_insurance,32,none,own,2,skilled,1,none,yes,No Risk
1632,no_checking,22,credits_paid_to_date,radio_tv,1131,100_to_500,1_to_4,2,male,none,3,car_other,31,none,own,1,skilled,1,yes,yes,No Risk
1633,0_to_200,7,prior_payments_delayed,vacation,1534,500_to_1000,1_to_4,1,male,none,1,real_estate,21,none,own,1,skilled,1,yes,yes,No Risk
1634,no_checking,26,prior_payments_delayed,radio_tv,4182,100_to_500,1_to_4,4,male,none,4,real_estate,34,none,own,2,management_self-employed,1,none,yes,No Risk
1635,0_to_200,23,credits_paid_to_date,retraining,2930,less_100,1_to_4,3,male,none,3,real_estate,30,none,rent,1,management_self-employed,1,none,yes,No Risk
1636,no_checking,40,prior_payments_delayed,appliances,5567,500_to_1000,4_to_7,4,male,none,3,car_other,39,stores,free,2,unskilled,2,yes,yes,No Risk
1637,no_checking,18,credits_paid_to_date,repairs,4256,100_to_500,less_1,3,male,none,4,real_estate,31,none,own,2,management_self-employed,1,none,yes,No Risk
1638,less_0,4,credits_paid_to_date,car_used,250,less_100,1_to_4,1,male,none,2,savings_insurance,26,stores,rent,1,unskilled,1,none,yes,No Risk
1639,no_checking,23,outstanding_credit,radio_tv,3281,500_to_1000,1_to_4,4,male,none,3,savings_insurance,35,none,own,1,management_self-employed,1,yes,yes,No Risk
1640,less_0,14,all_credits_paid_back,car_used,974,100_to_500,less_1,2,male,none,2,real_estate,25,stores,rent,1,skilled,1,none,yes,No Risk
1641,no_checking,9,credits_paid_to_date,furniture,708,100_to_500,1_to_4,2,male,none,3,car_other,44,none,own,1,management_self-employed,1,none,yes,No Risk
1642,no_checking,15,credits_paid_to_date,furniture,4609,less_100,4_to_7,4,male,none,3,car_other,54,stores,rent,1,unskilled,1,yes,yes,No Risk
1643,no_checking,28,prior_payments_delayed,appliances,5424,100_to_500,4_to_7,4,male,none,5,savings_insurance,40,none,own,1,management_self-employed,2,yes,yes,No Risk
1644,less_0,24,prior_payments_delayed,retraining,1268,less_100,less_1,3,male,none,3,real_estate,30,none,rent,1,skilled,1,none,yes,No Risk
1645,less_0,15,prior_payments_delayed,radio_tv,6090,500_to_1000,greater_7,4,male,none,3,car_other,49,none,own,2,skilled,1,none,yes,No Risk
1646,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,40,bank,rent,1,unskilled,1,none,yes,No Risk
1647,0_to_200,20,prior_payments_delayed,car_new,250,100_to_500,1_to_4,2,male,none,1,savings_insurance,26,stores,own,1,unskilled,1,none,yes,No Risk
1648,no_checking,16,outstanding_credit,furniture,5108,greater_1000,greater_7,4,male,none,4,unknown,40,bank,rent,1,unskilled,1,none,yes,No Risk
1649,no_checking,8,credits_paid_to_date,furniture,6154,500_to_1000,less_1,3,male,none,3,savings_insurance,22,none,free,1,management_self-employed,2,yes,yes,No Risk
1650,less_0,9,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,male,co-applicant,2,savings_insurance,44,stores,own,1,skilled,1,none,yes,No Risk
1651,0_to_200,30,prior_payments_delayed,appliances,2699,unknown,less_1,3,male,none,2,real_estate,35,none,own,1,skilled,1,none,yes,No Risk
1652,less_0,8,all_credits_paid_back,car_new,1170,less_100,less_1,2,male,none,2,car_other,28,none,own,1,skilled,1,none,yes,No Risk
1653,0_to_200,21,prior_payments_delayed,radio_tv,4400,greater_1000,4_to_7,3,male,none,4,savings_insurance,55,none,own,2,skilled,1,yes,yes,No Risk
1654,0_to_200,16,prior_payments_delayed,radio_tv,2815,less_100,1_to_4,2,male,none,2,car_other,35,none,own,1,skilled,1,yes,yes,No Risk
1655,0_to_200,31,credits_paid_to_date,radio_tv,3624,100_to_500,greater_7,2,male,none,1,unknown,42,stores,own,2,skilled,1,yes,yes,No Risk
1656,0_to_200,4,all_credits_paid_back,car_used,1835,less_100,less_1,2,male,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
1657,less_0,28,credits_paid_to_date,business,299,100_to_500,1_to_4,2,male,none,1,car_other,19,stores,own,1,skilled,1,none,yes,No Risk
1658,0_to_200,25,outstanding_credit,car_used,4180,100_to_500,greater_7,4,male,guarantor,4,savings_insurance,59,none,free,2,skilled,1,yes,yes,No Risk
1659,no_checking,25,prior_payments_delayed,car_used,3743,100_to_500,4_to_7,4,male,none,4,savings_insurance,46,none,own,1,management_self-employed,2,yes,yes,No Risk
1660,less_0,17,credits_paid_to_date,car_used,2102,less_100,less_1,3,male,co-applicant,3,savings_insurance,37,stores,own,1,unskilled,1,none,yes,No Risk
1661,0_to_200,20,credits_paid_to_date,radio_tv,830,500_to_1000,1_to_4,2,male,co-applicant,2,savings_insurance,30,stores,own,1,skilled,1,none,yes,No Risk
1662,no_checking,24,all_credits_paid_back,car_new,650,greater_1000,less_1,1,male,none,4,savings_insurance,21,none,own,1,skilled,1,none,yes,No Risk
1663,less_0,18,prior_payments_delayed,radio_tv,2653,less_100,1_to_4,3,male,co-applicant,2,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk
1664,no_checking,24,prior_payments_delayed,car_used,1661,500_to_1000,4_to_7,4,male,none,3,real_estate,24,none,own,1,management_self-employed,1,yes,yes,No Risk
1665,less_0,22,credits_paid_to_date,car_new,503,less_100,less_1,2,male,none,3,real_estate,37,none,own,1,skilled,1,none,yes,No Risk
1666,greater_200,17,credits_paid_to_date,furniture,1034,greater_1000,less_1,2,male,co-applicant,4,savings_insurance,33,bank,own,1,unemployed,1,yes,yes,No Risk
1667,no_checking,31,prior_payments_delayed,business,5172,unknown,4_to_7,3,male,none,3,car_other,46,bank,rent,1,unemployed,1,none,yes,No Risk
1668,less_0,21,prior_payments_delayed,education,6041,500_to_1000,4_to_7,3,male,none,2,car_other,34,none,free,2,skilled,1,none,yes,No Risk
1669,no_checking,28,outstanding_credit,appliances,4770,500_to_1000,greater_7,4,male,none,3,savings_insurance,45,none,own,2,skilled,1,yes,yes,No Risk
1670,less_0,4,no_credits,car_new,737,less_100,less_1,2,male,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
1671,no_checking,40,prior_payments_delayed,appliances,10430,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,51,none,own,2,skilled,1,none,yes,No Risk
1672,0_to_200,19,prior_payments_delayed,furniture,436,greater_1000,greater_7,4,male,none,4,car_other,22,bank,rent,2,unskilled,1,none,yes,No Risk
1673,0_to_200,14,prior_payments_delayed,car_new,2492,500_to_1000,greater_7,4,male,none,3,unknown,38,bank,own,2,unskilled,1,yes,yes,No Risk
1674,no_checking,33,prior_payments_delayed,appliances,5649,unknown,greater_7,4,male,none,3,car_other,43,none,own,2,skilled,1,none,yes,No Risk
1675,no_checking,13,credits_paid_to_date,furniture,1410,500_to_1000,less_1,3,male,none,3,real_estate,22,none,rent,1,management_self-employed,1,none,yes,No Risk
1676,no_checking,11,credits_paid_to_date,car_new,6680,less_100,1_to_4,3,male,none,4,car_other,40,none,own,1,management_self-employed,1,none,yes,No Risk
1677,no_checking,33,prior_payments_delayed,vacation,4228,500_to_1000,4_to_7,4,male,none,3,savings_insurance,32,stores,own,1,unskilled,2,yes,no,No Risk
1678,0_to_200,13,prior_payments_delayed,radio_tv,2383,less_100,1_to_4,3,male,none,3,real_estate,28,none,own,1,management_self-employed,2,yes,yes,No Risk
1679,greater_200,23,outstanding_credit,appliances,1689,500_to_1000,4_to_7,3,male,none,4,car_other,25,bank,own,1,unemployed,1,yes,yes,No Risk
1680,no_checking,40,prior_payments_delayed,vacation,3009,500_to_1000,1_to_4,4,male,none,4,car_other,30,stores,own,1,unskilled,1,none,yes,No Risk
1681,0_to_200,24,credits_paid_to_date,retraining,5984,less_100,1_to_4,4,male,none,3,savings_insurance,46,none,free,2,management_self-employed,1,yes,yes,No Risk
1682,no_checking,20,credits_paid_to_date,radio_tv,3137,100_to_500,less_1,2,male,none,2,car_other,32,stores,own,1,unskilled,1,yes,yes,No Risk
1683,less_0,13,all_credits_paid_back,vacation,2096,less_100,4_to_7,3,male,none,2,savings_insurance,22,none,own,1,management_self-employed,1,none,yes,No Risk
1684,0_to_200,20,prior_payments_delayed,car_used,2549,100_to_500,1_to_4,3,male,none,4,savings_insurance,29,none,free,2,skilled,1,yes,yes,No Risk
1685,less_0,4,credits_paid_to_date,car_used,2806,100_to_500,4_to_7,3,male,none,2,car_other,24,stores,rent,2,unskilled,1,none,yes,No Risk
1686,no_checking,28,prior_payments_delayed,appliances,7654,100_to_500,4_to_7,4,male,none,5,car_other,46,none,own,2,management_self-employed,1,none,yes,No Risk
1687,no_checking,24,outstanding_credit,appliances,2358,unknown,greater_7,3,male,none,4,car_other,46,none,free,2,skilled,2,yes,yes,No Risk
1688,no_checking,19,credits_paid_to_date,business,1867,100_to_500,1_to_4,4,male,none,3,car_other,42,stores,own,2,unskilled,1,none,yes,No Risk
1689,no_checking,31,outstanding_credit,radio_tv,5945,unknown,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,skilled,1,none,yes,No Risk
1690,less_0,18,credits_paid_to_date,furniture,576,less_100,4_to_7,2,male,none,1,savings_insurance,23,bank,rent,1,unemployed,1,none,yes,No Risk
1691,0_to_200,23,outstanding_credit,business,3452,greater_1000,1_to_4,3,male,none,3,car_other,30,none,own,1,management_self-employed,1,none,yes,No Risk
1692,0_to_200,13,prior_payments_delayed,furniture,4929,greater_1000,1_to_4,4,male,none,3,unknown,34,none,own,1,skilled,2,yes,yes,No Risk
1693,less_0,24,credits_paid_to_date,furniture,2202,less_100,less_1,3,male,none,3,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
1694,no_checking,36,prior_payments_delayed,appliances,4883,500_to_1000,4_to_7,3,male,none,3,car_other,40,none,own,1,skilled,2,none,yes,No Risk
1695,no_checking,24,prior_payments_delayed,business,6380,100_to_500,1_to_4,4,male,none,4,car_other,34,none,own,2,management_self-employed,1,none,yes,No Risk
1696,less_0,4,all_credits_paid_back,car_used,250,less_100,1_to_4,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
1697,no_checking,39,prior_payments_delayed,furniture,5457,500_to_1000,1_to_4,3,male,co-applicant,3,car_other,42,none,own,1,skilled,1,yes,yes,No Risk
